product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y,pool_type
余额宝B,4,CNY,现金类,现金类-其他,R1,2.67,2.84,2.86,0.81,0.78,1.35,-0.72,-1.72,-1.3,2.12,2.51,2.01,Satellite
博时现金收益,4,CNY,现金类,货币基金,R1,2.33,2.92,,1.0,1.39,0.93,-1.01,-0.89,-0.61,2.46,2.1,,Satellite
南方现金增利C,12,CNY,现金类,货币基金,R1,3.1,2.7,2.98,0.33,0.46,1.2,-1.33,-2.29,-1.46,2.69,2.35,2.2,Satellite
零钱通B,5,CNY,现金类,现金类-其他,R1,2.92,3.15,2.19,0.44,0.36,0.8,-0.13,0.0,-1.36,2.44,,1.36,Satellite
天弘余额宝B,5,CNY,现金类,货币基金,R1,2.02,2.31,2.76,0.7,0.82,0.77,,-1.1,-2.07,2.43,2.12,1.31,Satellite
招商安瑞进取D,20015,CNY,现金类,纯债型,R2,1.5,2.5,2.8,0.51,0.84,,-0.96,-1.67,-2.65,2.31,2.25,,Satellite
招商安瑞进取B,20005,CNY,现金类,纯债型,R1,2.9,2.36,3.4,0.94,0.0,1.07,-1.27,-1.57,-1.67,2.32,2.35,1.77,Satellite
招财宝,3,CNY,现金类,现金类-其他,R1,4.21,2.22,2.63,0.99,1.03,0.45,-0.79,-1.86,-2.01,2.45,,1.9,Satellite
工银纯债D,20016,CNY,现金类,纯债型,R2,2.18,3.68,2.86,,,0.76,-0.65,-1.33,-1.05,2.36,1.89,2.01,Satellite
易方达短债C,10010,CNY,现金类,短债型,R2,4.5,2.91,,0.64,0.82,1.27,-1.32,-2.1,-2.48,1.89,2.14,2.39,Satellite
博时稳定纯债C,20014,CNY,现金类,纯债型,R1,3.38,2.03,,1.45,0.68,,-0.93,-0.29,,2.59,2.01,1.63,Satellite
博时现金收益B,9,CNY,现金类,货币基金,R1,3.14,2.89,3.16,1.06,0.46,1.2,-1.08,-1.52,-2.93,2.08,,1.63,Satellite
华安日日鑫C,13,CNY,现金类,货币基金,R1,2.43,2.12,3.58,0.84,0.79,1.25,-0.72,-1.16,0.0,2.01,,,Satellite
广发安泽短债,10001,CNY,现金类,短债型,R1,4.16,4.0,3.8,1.6,1.36,0.97,-0.61,-1.91,-2.82,2.25,2.04,1.76,Satellite
博时现金收益D,19,CNY,现金类,货币基金,R1,2.9,,2.91,0.61,1.19,0.7,-0.79,-2.17,-2.44,2.52,1.97,2.42,Satellite
易方达易理财B,6,CNY,现金类,货币基金,R1,2.3,2.82,2.36,1.3,1.59,,-0.39,-1.66,-0.51,2.31,1.98,1.72,Satellite
易方达黄金ETFB,510007,CNY,另类,商品型,R4,10.13,8.21,,6.0,,12.93,-21.2,-18.67,-20.77,1.14,,,Satellite
国泰黄金ETF,510001,CNY,另类,商品型,R5,3.02,12.79,5.46,10.71,10.86,14.59,-25.0,-8.0,-15.9,0.86,0.74,0.76,Satellite
淡水泉多策略,900002,CNY,另类,多策略对冲,R3,20.0,4.91,7.93,10.68,13.67,,-14.9,-22.53,-19.45,1.25,,0.7,Satellite
