product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y,pool_type
易方达稳健收益B,100005,CNY,固收+,固收增强型,R3,8.07,8.65,5.12,9.85,7.72,6.85,-5.85,-15.14,-22.19,0.61,1.06,0.67,Satellite
广发稳健增长B,110004,CNY,固收+,偏债混合型,R3,12.2,10.34,9.07,9.3,7.75,7.68,-5.38,-15.56,-13.75,0.9,0.96,1.08,Satellite
华夏回报C,100013,CNY,固收+,固收增强型,R3,8.79,4.68,7.64,8.42,8.41,5.9,-12.24,-8.55,-15.69,1.17,0.95,0.88,Satellite
南方安心优选,110001,CNY,固收+,偏债混合型,R3,10.41,6.9,7.95,8.41,5.73,9.43,-3.61,-14.8,-17.34,1.07,1.01,0.98,Satellite
易方达安心债券C,130008,CNY,固收+,二级债基,R3,12.74,6.65,7.42,6.33,11.0,,-12.56,-11.34,-12.49,1.1,0.92,0.85,Satellite
广发稳健增长,110000,CNY,固收+,偏债混合型,R3,10.48,8.58,10.0,6.72,7.2,6.72,-10.67,-14.89,-9.85,1.36,0.85,0.74,Satellite
南方宝元债券B,130006,CNY,固收+,二级债基,R2,9.96,4.81,7.66,7.96,8.83,7.78,-4.91,-12.03,-17.54,1.03,1.05,,Satellite
博时稳定价值B,130007,CNY,固收+,二级债基,R3,9.15,8.08,5.95,6.67,5.9,9.69,-12.73,-15.1,-18.91,1.22,0.9,,Satellite
招商产业债B,100006,CNY,固收+,固收增强型,R3,14.26,4.0,9.54,8.42,7.85,6.82,-7.8,-12.64,-10.26,1.03,0.98,,Satellite
嘉实增强收益C,100014,CNY,固收+,固收增强型,R3,11.81,6.97,,8.19,7.31,6.96,-9.93,-11.67,-17.77,1.31,0.79,0.84,Satellite
中银稳健增利C,110011,CNY,固收+,偏债混合型,R2,8.88,5.14,7.19,,6.98,,-6.48,-14.95,-17.62,0.53,0.87,,Satellite
易方达稳健收益C,100010,CNY,固收+,固收增强型,R2,12.16,6.1,10.0,8.99,8.28,6.43,-6.9,-14.66,-14.92,1.5,0.93,1.06,Satellite
兴全可转债C,120008,CNY,固收+,可转债型,R4,15.0,,6.79,10.22,6.44,8.27,-12.16,-14.84,-6.41,0.95,0.99,,Satellite
博时稳定价值C,130011,CNY,固收+,二级债基,R2,4.33,,7.5,9.67,5.01,7.97,-5.32,-17.04,-7.56,1.1,0.83,0.87,Satellite
天弘余额宝C,10,CNY,现金类,货币基金,R1,2.87,3.84,2.28,0.19,1.56,0.67,-1.33,-0.72,-2.61,2.93,2.34,1.75,Satellite
招财宝B,7,CNY,现金类,现金类-其他,R1,2.79,3.51,3.78,0.39,1.12,0.58,-1.05,0.0,-3.5,2.35,2.26,2.23,Satellite
广发安泽短债D,10013,CNY,现金类,短债型,R1,3.36,2.43,,,0.61,1.14,-1.17,-1.8,-2.96,2.41,2.8,1.58,Satellite
