product_name,product_code,currency,asset_class,sub_category,risk_level,return_1y,return_3y,return_5y,volatility_1y,volatility_3y,volatility_5y,max_drawdown_1y,max_drawdown_2y,max_drawdown_3y,sharpe_ratio_1y,sharpe_ratio_3y,sharpe_ratio_5y,pct_return_3y,pct_sharpe_3y,pct_volatility_3y,bucket_id,bucket_pct_return,bucket_pct_sharpe,bucket_pct_volatility,is_top_alpha
博时信用债D,110014,CNY,固收+,偏债混合型,R3,10.72,10.8,8.39,8.12,7.03,8.37,-7.82,-9.14,-12.48,1.26,0.86,1.09,1.0,0.46153846153846156,0.38461538461538464,1,,,,False
明汯中性优选B,890005,CNY,另类,市场中性,R3,9.57,12.84,8.75,9.11,13.18,12.62,-9.3,-10.31,-28.84,0.6,0.53,0.69,1.0,0.16666666666666666,0.5,1,,,,False
招商安泰债券,130001,CNY,固收+,二级债基,R3,8.27,9.93,8.78,5.54,8.9,8.38,-9.89,-7.34,-16.21,1.03,0.92,0.88,1.0,0.55,0.8,1,,,,False
淡水泉多策略B,900005,CNY,另类,多策略对冲,R3,16.95,13.26,6.15,6.47,15.27,,-18.42,-14.65,-34.81,1.02,0.54,0.83,1.0,0.2,0.4,1,,,,False
中金量化优选B,540007,CNY,股票类,量化多因子,R3,23.1,24.41,9.6,15.4,14.77,24.61,-18.41,-30.42,-31.76,0.42,1.0,0.64,1.0,1.0,0.14285714285714285,1,,,,False
银华量化优选,520003,CNY,股票类,股票增强型,R4,16.37,21.52,9.85,23.0,23.71,17.95,-22.87,-45.0,-42.2,0.64,0.43,0.85,1.0,0.25,0.75,1,,,,False
天弘余额宝D,000015,CNY,现金类,货币基金,R1,1.53,4.0,2.4,0.89,0.78,0.87,-0.59,-0.85,-2.58,2.19,2.2,1.83,1.0,0.5333333333333333,0.2,1,,,,False
易方达稳健收益D,100015,CNY,固收+,固收增强型,R2,7.68,10.89,7.29,10.06,5.77,7.83,-6.33,-12.19,-10.44,0.87,1.2,1.2,1.0,1.0,0.06666666666666667,1,,,,False
灵均CTA策略B,880006,CNY,另类,CTA策略,R3,8.96,13.36,8.24,14.05,14.21,8.94,-9.8,-19.42,-18.31,0.53,0.48,,1.0,0.2,0.6,1,,,,False
汇添富中证800B,510015,CNY,股票类,股票型,R4,34.23,14.33,,17.61,17.89,18.26,-22.98,-27.44,-31.79,0.91,0.65,0.82,,,,1,,,,True
华宝科技龙头B,530010,CNY,股票类,行业主题型,R5,32.34,14.32,14.66,22.4,28.0,,-15.5,-30.96,,0.46,0.37,,,,,1,,,,True
中欧医疗健康C,530012,CNY,股票类,行业主题型,R4,31.42,18.06,,16.33,20.33,,-27.97,-40.37,,0.93,0.98,0.43,,,,1,,,,True
招商白酒,530001,CNY,股票类,行业主题型,R4,30.88,20.06,20.0,17.55,24.05,21.0,-10.0,-36.06,,0.49,0.55,0.35,,,,1,,,,True
银华量化优选B,520008,CNY,股票类,股票增强型,R5,29.79,15.6,15.06,19.6,22.13,,-23.31,-29.27,-29.24,0.5,1.0,0.49,,,,1,,,,True
中欧医疗健康B,530006,CNY,股票类,行业主题型,R5,27.94,7.15,8.06,12.0,20.06,22.47,-13.11,-29.44,-20.97,0.35,0.35,0.62,,,,1,,,,True
富国沪深300,510006,CNY,股票类,股票型,R4,27.53,17.22,10.08,22.63,26.38,20.4,-12.72,-45.0,-27.42,0.72,0.6,0.64,,,,1,,,,True
天弘新能源B,530008,CNY,股票类,行业主题型,R5,27.16,10.82,14.39,18.61,18.22,20.21,-28.97,-34.15,-43.58,1.19,0.66,,,,,1,,,,True
国泰量化增强,520002,CNY,股票类,股票增强型,R4,26.49,9.8,11.25,18.86,18.71,25.35,-19.97,-39.46,-26.66,1.2,0.83,0.42,,,,1,,,,True
国泰量化增强B,520007,CNY,股票类,股票增强型,R5,25.6,18.4,12.42,21.53,25.47,18.87,-19.08,-31.52,-35.74,0.97,0.79,0.74,,,,1,,,,True
