product_name,code,asset_class,sub_category,underlying_or_strategy,scale_billion,daily_volume_billion,expense_ratio,expected_annual_return,volatility_1y_std,sharpe_ratio_1y,max_drawdown_3y,risk_level,remarks
"REITs稳健保本B",ALT006,另类,房地产股权,物业租金收益结构,180,0.6,0.0028,0.048,0.022,0.9,-0.05,R3,"保本"

"PE保本结构1号",ALT007,另类,PE/VC股权,私募股权债权化结构,150,NA,0.004,0.060,0.025,0.7,-0.06,R4,"保本"
"PE保本结构2号",ALT008,另类,PE/VC股权,回购对赌+本金保护,130,NA,0.0042,0.058,0.025,0.7,-0.06,R4,"保本"

"海外另类保本1号",ALT009,另类,海外另类,美元对冲基金挂钩,120,NA,0.004,0.055,0.028,0.6,-0.07,R4,"保本"
"海外另类保本2号",ALT010,另类,海外另类,多资产对冲结构,140,NA,0.0042,0.057,0.028,0.6,-0.07,R4,"保本"

"雪球保本1号",ALT011,另类,结构性产品,沪深300雪球保本,300,NA,0.0045,0.050,0.020,1.2,-0.04,R3,"保本"
"雪球保本2号",ALT012,另类,结构性产品,中证500雪球保本,260,NA,0.0048,0.052,0.020,1.2,-0.04,R3,"保本"
"二元区间保本",ALT013,另类,结构性产品,区间触发收益结构,220,NA,0.0046,0.051,0.020,1.2,-0.04,R3,"保本"

"沪深300ETF",EQ101,股票,宽基指数,沪深300指数,450,20.5,0.0015,0.125,0.142,0.68,-0.231,R3,"非保本-真实风险"
"中证500ETF",EQ102,股票,宽基指数,中证500指数,280,12.3,0.0020,0.158,0.187,0.72,-0.294,R3,"非保本"
"创业板ETF",EQ103,股票,成长指数,创业板指数,220,14.8,0.0021,0.180,0.150,-0.35,R4,"高波动"
"科创50ETF",EQ104,股票,科创板,科创50指数,190,6.6,0.0023,0.195,0.120,-0.38,R4,"高波动"

"黄金ETF",CMD101,商品,贵金属,Au99.99价格跟踪,90,5.8,0.006,0.082,0.42,-0.183,R3,"避险类"
"原油ETF",CMD102,商品,能源,布油期货滚动,110,7.0,0.007,0.150,0.25,-0.35,R4,"高风险"

"中短债基金A",FI101,固收,纯债,高评级信用债,600,2.1,0.0012,0.028,0.012,1.2,-0.04,R2,"非保本"
"长久期国债ETF",FI102,固收,纯债,10年国债久期7+,300,3.0,0.0018,0.032,0.010,-0.07,R2,"利率敏感"
"信用债增强A",FI103,固收,信用债,城投+产业债组合,450,1.8,0.0020,0.040,0.011,-0.055,R3,"信用风险"

"公募REITsA",ALT101,另类,房地产股权,基础设施REITs,180,1.3,0.003,0.060,0.08,-0.12,R3,"非保本"
"CTA趋势A",ALT102,另类,量化对冲,多品种CTA,200,1.6,0.004,0.120,0.50,-0.20,R4,"波动大"
"多资产对冲A",ALT103,另类,海外另类,多资产Long/Short,170,1.0,0.0035,0.070,0.40,-0.10,R3,"低相关"

"混合基金平衡型",EQ201,股票,股债混合,股60%债40%,520,3.8,0.0020,0.085,0.12,-0.18,R3,"中风险"
"混合基金进取型",EQ202,股票,股债混合,股80%债20%,480,4.2,0.0025,0.110,0.10,-0.22,R4,"高风险"
"混合基金稳健型",EQ203,股票,股债混合,股40%债60%,530,3.2,0.0018,0.070,0.14,-0.15,R2,"偏稳健"

"QDII美股基金A",EQ301,股票,海外股票,标普500跟踪,230,2.2,0.0030,0.120,0.11,-0.20,R3,"海外风险"
"QDII纳指基金A",EQ302,股票,海外股票,纳指100跟踪,260,3.0,0.0032,0.140,0.13,-0.26,R4,"科技高波动"

"全球配置基金A",EQ303,股票,海外股债混合,全球60/40组合,280,2.1,0.0028,0.075,0.15,-0.12,R3,"分散配置"

"黄金QDII",CMD201,商品,贵金属,伦敦金跟踪,150,1.2,0.007,0.080,0.40,-0.17,R3,"避险资产"
"南华商品指数基金",CMD202,商品,大宗商品,大宗商品期货组合,210,3.4,0.006,0.130,0.22,-0.30,R4,"周期波动"
